train_accuracy_step,epoch,step,train_accuracy_epoch,train_loss
0.9375,0,49,,
1.0,0,99,,
0.96875,0,149,,
0.9375,0,199,,
,0,218,0.9660000205039978,0.11376015841960907
0.96875,1,249,,
0.90625,1,299,,
0.96875,1,349,,
0.90625,1,399,,
,1,437,0.9698571562767029,0.0889325812458992
1.0,2,449,,
0.96875,2,499,,
0.9375,2,549,,
0.96875,2,599,,
0.9375,2,649,,
,2,656,0.9701428413391113,0.0875059962272644
1.0,3,699,,
1.0,3,749,,
1.0,3,799,,
0.96875,3,849,,
,3,875,0.9714285731315613,0.08383183181285858
0.96875,4,899,,
0.96875,4,949,,
0.9375,4,999,,
1.0,4,1049,,
,4,1094,0.9715714454650879,0.08410487323999405
0.9375,5,1099,,
0.96875,5,1149,,
1.0,5,1199,,
0.9375,5,1249,,
1.0,5,1299,,
,5,1313,0.9694285988807678,0.08326747268438339
0.96875,6,1349,,
0.96875,6,1399,,
1.0,6,1449,,
1.0,6,1499,,
,6,1532,0.9708571434020996,0.08498398214578629
0.96875,7,1549,,
1.0,7,1599,,
0.9375,7,1649,,
0.96875,7,1699,,
0.96875,7,1749,,
,7,1751,0.9714285731315613,0.08221694827079773
1.0,8,1799,,
0.96875,8,1849,,
1.0,8,1899,,
1.0,8,1949,,
,8,1970,0.9715714454650879,0.0841742530465126
0.96875,9,1999,,
0.90625,9,2049,,
1.0,9,2099,,
1.0,9,2149,,
,9,2189,0.9714285731315613,0.08285731822252274
1.0,10,2199,,
1.0,10,2249,,
0.96875,10,2299,,
1.0,10,2349,,
1.0,10,2399,,
,10,2408,0.9721428751945496,0.08441606163978577
0.96875,11,2449,,
0.96875,11,2499,,
0.96875,11,2549,,
1.0,11,2599,,
,11,2627,0.9711428284645081,0.08265211433172226
0.90625,12,2649,,
0.9375,12,2699,,
1.0,12,2749,,
0.96875,12,2799,,
,12,2846,0.9721428751945496,0.08223844319581985
0.96875,13,2849,,
1.0,13,2899,,
1.0,13,2949,,
0.9375,13,2999,,
0.96875,13,3049,,
,13,3065,0.970714271068573,0.08215250819921494
1.0,14,3099,,
1.0,14,3149,,
1.0,14,3199,,
0.96875,14,3249,,
,14,3284,0.972428560256958,0.0832291841506958
1.0,15,3299,,
0.90625,15,3349,,
1.0,15,3399,,
1.0,15,3449,,
0.90625,15,3499,,
,15,3503,0.9722856879234314,0.08167408406734467
1.0,16,3549,,
0.9375,16,3599,,
0.9375,16,3649,,
0.96875,16,3699,,
,16,3722,0.9725714325904846,0.0803537666797638
0.96875,17,3749,,
0.96875,17,3799,,
0.9375,17,3849,,
1.0,17,3899,,
,17,3941,0.9715714454650879,0.08262946456670761
0.9375,18,3949,,
0.875,18,3999,,
0.96875,18,4049,,
1.0,18,4099,,
1.0,18,4149,,
,18,4160,0.972428560256958,0.08198288083076477
1.0,19,4199,,
1.0,19,4249,,
1.0,19,4299,,
0.9375,19,4349,,
,19,4379,0.9715714454650879,0.0828302800655365
